Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
82,Christian Wilkins,MIA,27,DT,17,17,0,1,1,100.0%,4,4.0,4.0,0,83.3,-5.0,-5,9,1,8,2,3.5,15,98,1,1.0%,WilkCh00
83,Maxx Crosby*,LVR,25,DE,17,17,0,4,2,50.0%,10,5.0,2.5,0,56.2,-2.5,-3,13,13,12,21,12.5,47,89,4,4.3%,CrosMa00
84,Kamren Curl,WAS,23,S,12,12,0,39,30,76.9%,312,10.4,8.0,2,116.6,5.5,173,139,8,0,0,1.0,1,83,4,4.6%,CurlKa00
85,Taylor Rapp,LAR,25,DB,16,16,2,53,38,71.7%,344,9.1,6.5,4,98.3,6.5,174,170,9,0,1,0.0,1,92,6,6.1%,RappTa00
86,Jordan Whitehead,NYJ,25,S,17,17,2,42,23,54.8%,301,13.1,7.2,3,81.5,10.7,167,134,5,0,0,0.0,0,89,8,8.2%,WhitJo03
87,Nate Hobbs,LVR,23,CB,11,11,0,77,58,75.3%,622,10.7,8.1,5,120.2,8.3,389,233,3,0,0,1.0,1,72,7,8.9%,HobbNa00
88,De'Vondre Campbell,GNB,29,LB,13,13,2,55,44,80.0%,362,8.2,6.6,0,78.9,2.7,108,254,19,2,1,0.0,3,96,6,5.9%,CampDe00
89,Minkah Fitzpatrick*+,PIT,26,S,15,15,6,54,33,61.1%,516,15.6,9.6,5,84.1,10.5,314,202,11,1,1,0.0,2,96,5,5.0%,FitzMi00
90,Darrick Forrest,WAS,23,S,17,11,4,55,30,54.5%,448,14.9,8.1,4,75.4,12.3,286,162,7,0,0,0.0,0,88,3,3.3%,ForrDa00
91,Jonathan Jones,NWE,29,DB,16,16,4,91,48,52.7%,588,12.3,6.5,5,73.0,12.2,368,220,1,0,0,0.0,0,69,7,9.2%,JoneJo03
92,Patrick Peterson,MIN,32,CB,17,17,5,89,53,59.6%,696,13.1,7.8,5,79.6,11.1,387,309,2,0,0,0.0,0,66,3,4.3%,PetePa00
93,Nick Scott,LAR,27,DB,17,16,2,58,46,79.3%,601,13.1,10.4,4,118.5,7.9,322,279,1,0,0,0.0,0,86,10,10.4%,ScotNi01
94,Mykal Walker,ATL,25,LB,16,12,2,53,44,83.0%,374,8.5,7.1,0,80.3,3.6,163,211,16,1,0,1.0,2,107,6,5.3%,WalkMy00
95,Pete Werner,NOR,23,LB,12,11,0,39,28,71.8%,212,7.6,5.4,1,93.1,2.8,41,171,15,2,0,0.0,2,80,4,4.8%,WernPe00
96,Tyson Campbell,JAX,22,CB,17,17,3,83,45,54.2%,433,9.6,5.2,6,78.0,11.3,299,134,1,0,0,0.0,0,70,5,6.7%,CampTy01
97,Kyler Gordon,CHI,23,DB,14,14,3,82,63,76.8%,764,12.1,9.3,3,101.9,7.4,418,346,18,1,0,0.0,1,71,2,2.7%,GordKy00
98,Kareem Jackson,DEN,34,S,17,17,0,59,34,57.6%,470,13.8,8.0,3,100.2,9.2,252,218,2,0,0,0.0,0,94,16,14.5%,JackKa99
99,Kerby Joseph,DET,22,S,17,14,4,40,25,62.5%,294,11.8,7.4,6,84.8,13.9,213,81,4,0,1,0.0,1,82,7,7.9%,JoseKe03
100,Jayron Kearse,DAL,28,S,14,14,1,41,28,68.3%,319,11.4,7.8,0,81.2,5.4,167,152,28,2,0,2.0,4,77,2,2.5%,KearJa00
101,Demario Davis*,NOR,33,LB,17,17,1,49,33,67.3%,274,8.3,5.6,2,86.6,3.0,61,213,26,1,2,6.5,10,109,10,8.4%,DaviDe00
102,Deommodore Lenoir,SFO,23,DB,17,13,1,83,55,66.3%,695,12.6,8.4,1,91.2,8.9,418,277,13,1,1,1.0,3,79,9,10.2%,LenoDe00
103,Damarri Mathis,DEN,23,CB,16,11,0,81,56,69.1%,513,9.2,6.3,1,90.2,8.2,335,178,3,0,0,0.0,0,65,15,18.8%,MathDa00
104,Bobby McCain,WAS,29,S,17,16,0,52,41,78.8%,404,9.9,7.8,2,111.9,7.3,238,166,14,1,1,0.0,2,76,2,2.6%,McCaBo01
105,Devin McCourty,NWE,35,DB,17,17,4,37,19,51.4%,273,14.4,7.4,4,72.1,13.4,210,63,2,0,0,0.0,0,71,5,6.6%,McCoDe99
106,Denzel Perryman,LVR,30,LB,12,11,2,29,21,72.4%,119,5.7,4.1,1,62.3,1.8,18,101,46,2,4,1.0,7,83,7,7.8%,PerrDe00
107,Leighton Vander Esch,DAL,26,LB,14,14,0,31,24,77.4%,214,8.9,6.9,0,95.4,3.8,87,127,17,2,0,1.0,3,90,3,3.2%,VandLe00
108,Carlton Davis,TAM,26,CB,13,13,1,93,52,55.9%,622,12.0,6.7,3,82.8,9.5,356,266,3,0,1,0.0,1,65,5,7.1%,DaviCa02
109,Stephon Gilmore,IND,32,CB,16,16,2,89,50,56.2%,577,11.5,6.5,2,74.0,8.8,332,245,0,0,0,0.0,0,66,5,7.0%,GilmSt00
110,Marlon Humphrey*,BAL,26,CB,17,17,3,79,51,64.6%,590,11.6,7.5,3,83.8,9.6,420,170,7,2,1,3.0,6,71,1,1.4%,HumpMa00
111,Xavier Woods,CAR,27,S,15,15,0,55,33,60.0%,452,13.7,8.2,1,92.4,11.3,246,206,20,1,1,0.0,2,86,6,6.5%,WoodXa00
112,Vonn Bell,CIN,28,S,16,16,4,53,36,67.9%,468,13.0,8.8,0,64.0,9.1,271,197,25,1,2,1.0,5,77,6,7.2%,BellVo00
113,Coby Bryant,SEA,23,CB,17,6,0,72,54,75.0%,657,12.2,9.1,3,116.5,7.3,301,356,12,0,2,2.0,4,70,7,9.1%,BryaCo01
114,Mike Edwards,TAM,26,S,13,12,2,48,32,66.7%,488,15.3,10.2,4,110.4,14.5,310,178,22,2,1,1.0,4,82,5,5.7%,EdwaMi01
115,David Long,TEN,26,LB,12,12,2,53,39,73.6%,336,8.6,6.3,0,74.1,3.1,126,210,22,3,3,0.0,6,86,10,10.4%,LongDa04
116,Robert Spillane,PIT,27,LB,16,5,0,43,36,83.7%,359,10.0,8.3,1,109.2,5.1,167,192,42,1,1,1.0,3,79,5,6.0%,SpilRo00
117,Paulson Adebo,NOR,23,CB,13,12,0,76,50,65.8%,664,13.3,8.7,6,119.6,10.8,418,246,1,0,0,0.0,0,60,9,13.0%,AdebPa00
118,Jeremy Chinn,CAR,24,S,11,11,0,50,34,68.0%,414,12.2,8.3,0,93.2,11.0,298,116,13,1,0,1.0,2,70,5,6.7%,ChinJe00
119,Martin Emerson,CLE,22,CB,17,6,0,91,46,50.5%,490,10.7,5.4,3,77.6,10.4,380,110,3,0,0,1.0,1,63,6,8.7%,EmerMa00
120,Sauce Gardner*+,NYJ,22,CB,17,17,2,86,46,53.5%,452,9.8,5.3,1,62.7,12.5,277,175,5,0,1,0.0,1,75,5,6.3%,GardSa00
121,Willie Gay Jr.,KAN,24,LB,13,13,1,52,42,80.8%,338,8.0,6.5,1,92.1,2.1,70,268,30,0,1,2.5,4,88,9,9.3%,GayJWi00
122,Michael Carter,NYJ,23,CB,17,6,2,77,50,64.9%,473,9.5,6.1,1,75.3,4.8,152,321,16,3,0,0.0,3,63,1,1.6%,CartMi02
123,Quandre Diggs*,SEA,29,FS,17,17,4,35,20,57.1%,350,17.5,10.0,4,89.9,13.9,216,134,4,0,1,0.0,1,71,6,7.8%,DiggQu00
124,Trevon Diggs*,DAL,24,CB,17,17,3,85,55,64.7%,673,12.2,7.9,3,86.1,9.8,369,304,1,0,0,0.0,0,59,1,1.7%,DiggTr00
125,Kyle Dugger,NWE,26,DB,15,15,3,55,38,69.1%,369,9.7,6.7,5,95.2,8.4,236,133,26,1,1,1.0,3,78,7,8.2%,DuggKy00
126,C.J. Henderson,CAR,24,CB,17,10,2,84,58,69.0%,684,11.8,8.1,5,103.5,10.5,501,183,2,1,0,0.0,1,58,7,10.8%,HendCJ00
127,Kenny Moore,IND,27,CB,12,12,0,48,34,70.8%,412,12.1,8.6,3,117.7,8.5,225,187,11,0,0,1.0,1,65,5,7.1%,MoorKe03
128,Fabian Moreau,NYG,28,DB,14,11,0,81,48,59.3%,553,11.5,6.8,5,100.5,12.7,394,159,1,0,0,0.0,0,66,3,4.3%,MoreFa00
129,Kenneth Murray,LAC,24,LB,17,16,1,45,33,73.3%,270,8.2,6.0,1,86.3,2.7,68,202,26,2,3,1.0,6,76,7,8.4%,MurrKe00
130,Germaine Pratt,CIN,26,LB,15,15,2,40,25,62.5%,196,7.8,4.9,1,62.1,3.5,68,128,24,2,0,1.0,3,99,5,4.8%,PratGe00
131,Jack Sanborn,CHI,22,LB,14,6,0,17,13,76.5%,119,9.2,7.0,0,95.0,3.3,36,83,13,0,1,2.0,3,64,3,4.5%,SanbJa00
132,Camryn Bynum,MIN,24,S,17,17,2,44,29,65.9%,479,16.5,10.9,8,123.0,14.3,358,121,1,0,0,0.0,0,81,5,5.8%,BynuCa00
133,Andre Cisco,JAX,22,S,15,15,3,29,22,75.9%,365,16.6,12.6,4,117.4,8.7,200,165,14,0,0,1.0,1,73,3,3.9%,CiscAn00
134,Dane Jackson,BUF,26,CB,15,14,2,78,46,59.0%,538,11.7,6.9,3,82.1,10.1,412,126,4,0,0,0.0,0,57,7,10.9%,JackDa02
135,Michael Davis,LAC,27,CB,17,12,1,70,34,48.6%,337,9.9,4.8,2,66.2,11.5,218,119,3,0,0,1.0,1,62,1,1.6%,DaviMi03
136,Mike Hilton,CIN,28,CB,14,4,1,69,43,62.3%,430,10.0,6.2,1,78.8,6.7,235,195,30,0,4,0.0,4,60,6,9.1%,HiltMi01
137,Asante Samuel Jr.,LAC,23,CB,17,15,2,87,48,55.2%,626,13.0,7.2,7,95.3,11.0,427,199,0,0,0,0.0,0,57,3,5.0%,SamuAs00
138,Kyle Hamilton,BAL,21,S,16,4,0,49,36,73.5%,279,7.8,5.7,1,93.8,3.3,147,132,24,1,3,2.0,6,62,5,7.5%,HamiKy00
139,Christian Harris,HOU,21,LB,12,11,1,46,33,71.7%,295,8.9,6.4,0,79.5,2.9,73,222,9,0,2,1.0,3,74,10,11.9%,HarrCh06
140,Danielle Hunter*,MIN,28,OLB,17,17,0,8,8,100.0%,64,8.0,8.0,0,100.0,1.3,10,54,23,11,11,10.5,34,65,3,4.4%,HuntDa01
141,Jaylon Smith,NYG,27,LB,13,11,0,28,23,82.1%,224,9.7,8.0,0,100.0,5.5,92,132,21,2,1,1.0,4,88,0,0.0%,SmitJa05
